cdm_semantic_meaning,description,extends_trait,parameters,dbt_labels
means.measurement.currency.type,,means.measurement,,category:measurement|subcategory:currency|type:type|role:dimension
means.measurement.currency.type.destination,,means.measurement.currency.type,,category:measurement|subcategory:currency|type:type|role:dimension
means.measurement.currency.type.source,,means.measurement.currency.type,,category:measurement|subcategory:currency|type:type|role:dimension
means.measurement.time,,means.measurement,,category:measurement|subcategory:time|role:dimension
means.measurement.date,,means.measurement,,category:measurement|subcategory:date|role:dimension
means.measurement.date.completion,,means.measurement.date,,category:measurement|subcategory:date|type:completion|role:dimension
means.measurement.date.creation,,means.measurement.date,,category:measurement|subcategory:date|type:creation|role:dimension
means.measurement.date.end,,means.measurement.date,,category:measurement|subcategory:date|type:end|role:dimension
means.measurement.date.end.scd,,means.measurement.date,,category:measurement|subcategory:date|type:end|role:dimension
means.measurement.date.modify,,means.measurement.date,,category:measurement|subcategory:date|type:modify|role:dimension
means.measurement.date.occurrence,,means.measurement.date,,category:measurement|subcategory:date|type:occurrence|role:dimension
means.measurement.date.remove,,means.measurement.date,,category:measurement|subcategory:date|type:remove|role:dimension
means.measurement.date.start,,means.measurement.date,,category:measurement|subcategory:date|type:start|role:dimension
means.measurement.date.start.scd,,means.measurement.date,,category:measurement|subcategory:date|type:start|role:dimension
means.measurement.date.target,,means.measurement.date,,category:measurement|subcategory:date|type:target|role:dimension
means.measurement.duration,,means.measurement,,category:measurement|subcategory:duration|role:measure|default_aggregation:sum
means.measurement.duration.seconds,,means.measurement.duration,,category:measurement|subcategory:duration|type:seconds|role:measure|default_aggregation:sum
means.measurement.duration.minutes,,means.measurement.duration,,category:measurement|subcategory:duration|type:minutes|role:measure|default_aggregation:sum
means.measurement.duration.hours,,means.measurement.duration,,category:measurement|subcategory:duration|type:hours|role:measure|default_aggregation:sum
means.measurement.duration.days,,means.measurement.duration,,category:measurement|subcategory:duration|type:days|role:measure|default_aggregation:sum
means.measurement.duration.months,,means.measurement.duration,,category:measurement|subcategory:duration|type:months|role:measure|default_aggregation:sum
means.measurement.duration.weeks,,means.measurement.duration,,category:measurement|subcategory:duration|type:weeks|role:measure|default_aggregation:sum
means.measurement.duration.quarters,,means.measurement.duration,,category:measurement|subcategory:duration|type:quarters|role:measure|default_aggregation:sum
means.measurement.duration.trimesters,,means.measurement.duration,,category:measurement|subcategory:duration|type:trimesters|role:measure|default_aggregation:sum
means.measurement.duration.years,,means.measurement.duration,,category:measurement|subcategory:duration|type:years|role:measure|default_aggregation:sum
means.measurement.percent,,means.measurement,,category:measurement|subcategory:percent|role:measure|default_aggregation:sum
means.measurement.percent.ownership,,means.measurement,,category:measurement|subcategory:percent|type:ownership|role:measure|default_aggregation:sum
means.measurement.percent.voterright,,means.measurement,,category:measurement|subcategory:percent|type:voterright|role:measure|default_aggregation:sum
means.measurement.range,,means.measurement,,category:measurement|subcategory:range|role:measure|default_aggregation:sum
means.measurement.range.high,,means.measurement.range,,category:measurement|subcategory:range|type:high|role:measure|default_aggregation:sum
means.measurement.range.low,,means.measurement.range,,category:measurement|subcategory:range|type:low|role:measure|default_aggregation:sum
means.measurement.rate,,means.measurement,,category:measurement|subcategory:rate|role:measure|default_aggregation:average
means.measurement.rate.type,,means.measurement,,category:measurement|subcategory:rate|type:type|role:measure|default_aggregation:average
means.measurement.size,,means.measurement,,category:measurement|subcategory:size|role:measure|default_aggregation:sum
means.measurement.size.depth,,means.measurement.size,,category:measurement|subcategory:size|type:depth|role:measure|default_aggregation:sum
means.measurement.size.height,,means.measurement.size,,category:measurement|subcategory:size|type:height|role:measure|default_aggregation:sum
means.measurement.size.volume,,means.measurement.size,,category:measurement|subcategory:size|type:volume|role:measure|default_aggregation:sum
means.measurement.size.width,,means.measurement.size,,category:measurement|subcategory:size|type:width|role:measure|default_aggregation:sum
means.category,,means,,category:category|role:dimension
means.content,,means,,category:content|role:dimension
means.content.text,,means.content,,category:content|subcategory:text|role:dimension
means.content.text.HTML,,means.content.text,,category:content|subcategory:text|type:HTML|role:dimension
means.content.text.JSON,,means.content.text,,category:content|subcategory:text|type:JSON|role:dimension
means.content.text.XML,,means.content.text,,category:content|subcategory:text|type:XML|role:dimension
means.content.text.CSV,,means.content.text,,category:content|subcategory:text|type:CSV|role:dimension
means.content.binary,,means.content,,category:content|subcategory:binary|role:dimension
means.content.binary.image,,means.content.binary,,category:content|subcategory:binary|type:image|role:dimension
means.content.binary.image.BMP,,means.content.binary.image,,category:content|subcategory:binary|type:image|role:dimension
means.content.binary.image.GIF,,means.content.binary.image,,category:content|subcategory:binary|type:image|role:dimension
means.content.binary.image.JPG,,means.content.binary.image,,category:content|subcategory:binary|type:image|role:dimension
means.content.binary.image.PNG,,means.content.binary.image,,category:content|subcategory:binary|type:image|role:dimension
means.content.binary.image.TIFF,,means.content.binary.image,,category:content|subcategory:binary|type:image|role:dimension
means.identity,,means,,category:identity|role:dimension
means.identity.entityId,,means.identity,,category:identity|subcategory:entityId|role:dimension
means.identity.barCode,,means.identity,,category:identity|subcategory:barCode|role:dimension
means.identity.brand,,means.identity,,category:identity|subcategory:brand|role:dimension
means.identity.governmentID,,means.identity,,category:identity|subcategory:governmentID|pii:true|role:dimension
means.identity.name,,means.identity,,category:identity|subcategory:name|role:dimension
means.identity.person.firstName,,means.identity,,category:identity|subcategory:person|type:firstName|pii:true|role:dimension
means.identity.person.fullName,,means.identity,,category:identity|subcategory:person|type:fullName|pii:true|role:dimension
means.identity.person.lastName,,means.identity,,category:identity|subcategory:person|type:lastName|pii:true|role:dimension
means.identity.person.middleName,,means.identity,,category:identity|subcategory:person|type:middleName|pii:true|role:dimension
means.identity.rowNumber,,means.identity,,category:identity|subcategory:rowNumber|role:dimension
means.identity.scd.originalIdentity,,means.identity,,category:identity|subcategory:scd|type:originalIdentity|role:dimension
means.identity.scd.surogateIdentity,,means.identity,,category:identity|subcategory:scd|type:surogateIdentity|role:dimension
means.identity.service,,means.identity,,category:identity|subcategory:service|role:dimension
means.identity.service.email,,means.identity,,category:identity|subcategory:service|type:email|pii:true|role:dimension
means.identity.service.facebook,,means.identity,,category:identity|subcategory:service|type:facebook|role:dimension
means.identity.service.phone,,means.identity,,category:identity|subcategory:service|type:phone|pii:true|role:dimension
means.identity.service.phone.cell,,means.identity,,category:identity|subcategory:service|type:phone|pii:true|role:dimension
means.identity.service.phone.fax,,means.identity,,category:identity|subcategory:service|type:phone|role:dimension
means.identity.service.twitter,,means.identity,,category:identity|subcategory:service|type:twitter|role:dimension
means.identity.SKU,,means.identity,,category:identity|subcategory:SKU|role:dimension
means.identity.tickerSymbol,,means.identity,,category:identity|subcategory:tickerSymbol|role:dimension
means.identity.title,,means.identity,,category:identity|subcategory:title|role:dimension
means.relationship,,means,,category:relationship|role:dimension
means.relationship.parent,,means.relationship,,category:relationship|subcategory:parent|role:dimension
means.relationship.child,,means.relationship,,category:relationship|subcategory:child|role:dimension
means.reference,,means,,category:reference|role:dimension
means.reference.caption,,means.reference,,category:reference|subcategory:caption|role:dimension
means.reference.displayText,,means.reference,,category:reference|subcategory:displayText|role:dimension
means.reference.description,,means.reference,,category:reference|subcategory:description|role:dimension
means.reference.definition,,means.reference,,category:reference|subcategory:definition|role:dimension
means.reference.phonetic,,means.reference,,category:reference|subcategory:phonetic|role:dimension
