cdm_manifest_name,cdm_manifest_path,cdm_version,dbt_schema_name
RAsset,local:/core/operationsCommon/Entities/Finance/RAsset/RAsset.1.2.manifest.cdm.json,1.2,r_asset
RCash,local:/core/operationsCommon/Entities/Finance/RCash/RCash.1.2.manifest.cdm.json,1.2,r_cash
RCashFlowManagement,local:/core/operationsCommon/Entities/Finance/RCashFlowManagement/RCashFlowManagement.1.2.manifest.cdm.json,1.2,r_cash_flow_management
RDeferrals,local:/core/operationsCommon/Entities/Finance/RDeferrals/RDeferrals.1.2.manifest.cdm.json,1.2,r_deferrals
RSalesPurchBooks,local:/core/operationsCommon/Entities/Finance/RSalesPurchBooks/RSalesPurchBooks.1.2.manifest.cdm.json,1.2,r_sales_purch_books
RTax25,local:/core/operationsCommon/Entities/Finance/RTax25/RTax25.1.2.manifest.cdm.json,1.2,r_tax25
Tax,local:/core/operationsCommon/Entities/Finance/Tax/Tax.1.2.manifest.cdm.json,1.2,tax
TravelAndExpense,local:/core/operationsCommon/Entities/Finance/TravelAndExpense/TravelAndExpense.1.2.manifest.cdm.json,1.2,travel_and_expense
HumanResources,local:/core/operationsCommon/Entities/HumanResources/HumanResources.1.0.4.manifest.cdm.json,1.0.4,human_resources
HRM,local:/core/operationsCommon/Entities/HumanResources/HRM/HRM.1.3.manifest.cdm.json,1.3,hrm
Payroll,local:/core/operationsCommon/Entities/HumanResources/Payroll/Payroll.1.2.manifest.cdm.json,1.2,payroll
ProfessionalServices,local:/core/operationsCommon/Entities/ProfessionalServices/ProfessionalServices.1.0.3.manifest.cdm.json,1.0.3,professional_services
ProjectManagementAndAccounting,local:/core/operationsCommon/Entities/ProfessionalServices/ProjectManagementAndAccounting/ProjectManagementAndAccounting.1.2.manifest.cdm.json,1.2,project_management_and_accounting
SupplyChain,local:/core/operationsCommon/Entities/SupplyChain/SupplyChain.1.0.3.manifest.cdm.json,1.0.3,supply_chain
CostAccounting,local:/core/operationsCommon/Entities/SupplyChain/CostAccounting/CostAccounting.1.0.1.manifest.cdm.json,1.0.1,cost_accounting
CostManagement,local:/core/operationsCommon/Entities/SupplyChain/CostManagement/CostManagement.1.2.manifest.cdm.json,1.2,cost_management
InventoryAndWarehouseManagement,local:/core/operationsCommon/Entities/SupplyChain/InventoryAndWarehouseManagement/InventoryAndWarehouseManagement.1.2.manifest.cdm.json,1.2,inventory_and_warehouse_management
